Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.057044,1296.000,-115.498487
-0.000801,1300.000,-116.657371
-0.056962,1304.000,-121.195112
0.000216,1308.000,-129.199723
-0.056914,1312.000,-129.474680
0.000881,1316.000,-123.924340
-0.056990,1320.000,-123.832149
0.001262,1324.000,-121.120146
-0.056856,1328.000,-120.072474
0.001374,1332.000,-139.497697
-0.056705,1336.000,-119.992128
0.001407,1340.000,-123.315721
-0.056614,1344.000,-123.367289
0.001168,1348.000,-126.398678
-0.056547,1352.000,-123.757124
0.000901,1356.000,-130.704594
-0.056864,1360.000,-127.721634
0.000747,1364.000,-123.869400
-0.057063,1368.000,-134.280475
0.000688,1372.000,-124.633806
-0.057160,1376.000,-127.655497
0.000427,1380.000,-124.254911
-0.057026,1384.000,-124.386070
-0.000209,1388.000,-128.837019
-0.056858,1392.000,-129.621983
-0.000716,1396.000,-125.670550
-0.056568,1400.000,-128.275930
-0.000965,1404.000,-131.189694
-0.056694,1408.000,-120.874991
-0.001137,1412.000,-116.435492
-0.056867,1416.000,-123.263949
-0.001181,1420.000,-116.941269
-0.057055,1424.000,-115.984743
-0.001121,1428.000,-119.518847
-0.057153,1432.000,-117.977371
-0.001069,1436.000,-117.902325
-0.057093,1440.000,-120.082290
-0.001102,1444.000,-127.071046
-0.056821,1448.000,-127.363572
-0.001111,1452.000,-120.903985
-0.056933,1456.000,-123.833730
-0.001148,1460.000,-115.673165
-0.057220,1464.000,-122.525946
-0.000648,1468.000,-127.851808
-0.056834,1472.000,-120.834818
0.000418,1476.000,-116.484191
-0.057074,1480.000,-122.410683
0.000915,1484.000,-121.744953
-0.056830,1488.000,-124.221988
0.001252,1492.000,-130.155379
-0.056734,1496.000,-122.346066
0.001393,1500.000,-117.937017
-0.056819,1504.000,-122.311520
0.001306,1508.000,-116.788923
-0.057098,1512.000,-119.539728
0.001203,1516.000,-117.703080
-0.056823,1520.000,-118.928507
0.001062,1524.000,-124.522664
-0.056610,1528.000,-123.720130
0.000912,1532.000,-140.249416
-0.056721,1536.000,-123.991616
0.000663,1540.000,-118.205257
-0.056719,1544.000,-119.198460
0.000511,1548.000,-118.200429
-0.057012,1552.000,-115.105265
0.000186,1556.000,-115.104010
-0.056698,1560.000,-117.120698
-0.000483,1564.000,-125.662000
-0.056682,1568.000,-122.519051
-0.000840,1572.000,-121.825225
-0.056725,1576.000,-119.552746
-0.000966,1580.000,-118.633670
-0.056779,1584.000,-120.084637
-0.001040,1588.000,-115.773459
-0.056811,1592.000,-117.160237
-0.001113,1596.000,-123.187519
-0.056913,1600.000,-123.091800
-0.001143,1604.000,-115.859420
-0.056800,1608.000,-117.960769
-0.001257,1612.000,-119.785110
-0.056685,1616.000,-112.817290
-0.001172,1620.000,-117.941676
-0.056677,1624.000,-124.565844
-0.001113,1628.000,-121.783915
-0.056587,1632.000,-126.476582
-0.001134,1636.000,-121.913812
-0.056570,1640.000,-117.688356
-0.000982,1644.000,-112.824127
-0.056574,1648.000,-110.307627
-0.000077,1652.000,-111.597505
-0.056390,1656.000,-115.407061
0.000821,1660.000,-112.844384
-0.056613,1664.000,-114.707599
0.001266,1668.000,-134.572397
-0.056781,1672.000,-131.525277
0.001322,1676.000,-119.302382
-0.056663,1680.000,-129.205266
0.001317,1684.000,-111.173628
-0.056627,1688.000,-111.353588
0.001344,1692.000,-120.455126
-0.056416,1696.000,-122.369771
0.001143,1700.000,-131.701225
-0.056388,1704.000,-126.163818
0.001000,1708.000,-119.639244
-0.056389,1712.000,-116.443893
0.000882,1716.000,-127.627952
-0.056349,1720.000,-129.147879
0.000759,1724.000,-120.471166
-0.056379,1728.000,-121.136877
0.000545,1732.000,-119.330403
-0.056565,1736.000,-110.230517
0.000255,1740.000,-109.554470
-0.056631,1744.000,-108.332376
-0.000474,1748.000,-109.063930
-0.056485,1752.000,-145.312858
-0.000835,1756.000,-116.568955
-0.056453,1760.000,-114.885261
-0.001027,1764.000,-128.372167
-0.056709,1768.000,-110.671360
-0.001156,1772.000,-110.652770
-0.056338,1776.000,-121.599445
-0.001088,1780.000,-116.737716
-0.056276,1784.000,-111.313376
-0.001142,1788.000,-120.960534
-0.056450,1792.000,-123.750175
-0.001095,1796.000,-119.594355
-0.056226,1800.000,-114.922110
-0.001206,1804.000,-115.489186
-0.056088,1808.000,-123.363228
-0.001209,1812.000,-115.069246
-0.056176,1816.000,-123.524084
-0.001181,1820.000,-118.957873
-0.056172,1824.000,-111.885197
-0.000908,1828.000,-113.405012
-0.056209,1832.000,-121.124104
-0.000056,1836.000,-112.002757
-0.056068,1840.000,-113.965295
0.000845,1844.000,-116.464438
-0.056260,1848.000,-107.942527
0.001224,1852.000,-111.210002
-0.056502,1856.000,-110.373850
0.001356,1860.000,-110.079707
-0.056361,1864.000,-119.568602
0.001347,1868.000,-121.075238
-0.056561,1872.000,-117.413822
0.001257,1876.000,-120.878718
-0.056561,1880.000,-113.008103
0.001142,1884.000,-113.407862
-0.056397,1888.000,-117.334786
0.000938,1892.000,-112.651983
-0.056550,1896.000,-113.894536
0.000906,1900.000,-114.492758
-0.056429,1904.000,-110.738124
0.000697,1908.000,-119.619267
-0.056447,1912.000,-115.515034
0.000353,1916.000,-106.396334
-0.056308,1920.000,-105.212140
-0.000148,1924.000,-113.494827
-0.056392,1928.000,-114.807324
-0.000732,1932.000,-112.096279
